ablation_type,function,dimensions,run_id,final_fitness,total_evaluations,improvement_ratio,local_search_calls,plateau_escapes,basin_searches,final_exploration_scale,final_exploitation_scale,runtime_seconds
baseline,Sphere,10,1,2.4999999999999997e-16,3794,4.396335242563494e+19,1,0,0,0.17,0.005,2.046234607696533
baseline,Sphere,10,2,2.4999999999999977e-16,3413,2.988869804529802e+19,1,0,0,0.17,0.005,2.2588083744049072
baseline,Sphere,10,3,2.5e-16,3520,5.305751291979189e+19,1,0,0,0.17,0.005,2.1225433349609375
baseline,Sphere,10,4,2.4093795146485894e-16,4841,4.959945154283843e+19,3,0,0,0.17,0.005,2.5121114253997803
baseline,Sphere,10,5,1.9632609248219478e-16,6912,4.672323191022419e+19,3,0,0,0.17,0.005,3.063154458999634
baseline,Sphere,10,6,2.467006693498231e-16,6365,4.538873348336504e+19,3,0,0,0.17,0.005,2.8868987560272217
baseline,Sphere,10,7,2.5000001199420863e-16,4765,4.694065768849518e+19,1,0,0,0.17,0.005,2.1521449089050293
baseline,Sphere,10,8,0.00046577599154561393,4960,30501137.597613774,0,0,0,0.17,0.005,1.462228536605835
baseline,Sphere,10,9,2.471182499081417e-16,4418,3.0352400894811656e+19,3,0,0,0.17,0.005,1.8345749378204346
baseline,Sphere,10,10,2.4401123730169937e-16,4398,3.991164597417226e+19,3,0,0,0.17,0.005,1.8750815391540527
no_local_search,Sphere,10,1,5.325932323667152e-06,3858,2063645844.2342787,0,0,0,0.0234,0.009330000000000001,4.451274156570435
no_local_search,Sphere,10,2,5.71006391776728e-06,3475,1308597350.0356596,0,0,0,0.06620000000000001,0.00719,4.330050230026245
no_local_search,Sphere,10,3,1.2298420641474273e-06,3281,10785432224.700605,0,0,0,0.032400000000000005,0.00888,4.471998453140259
no_local_search,Sphere,10,4,8.670167459349343e-05,2530,137833442.139869,0,0,0,0.17,0.005,2.586038589477539
no_local_search,Sphere,10,5,2.4624783805659436e-07,5034,37251046025.28738,0,0,0,0.031000000000000003,0.00895,4.566130638122559
no_local_search,Sphere,10,6,8.176327043564394e-07,4424,13694940126.080704,0,0,0,0.0394,0.00853,4.636721849441528
no_local_search,Sphere,10,7,1.6041672181837072e-06,5028,7315425008.14023,0,0,0,0.1012,0.00544,4.526127099990845
no_local_search,Sphere,10,8,0.00046577599154561393,2144,30501137.597613774,0,0,0,0.17,0.005,1.4354333877563477
no_local_search,Sphere,10,9,1.0803311573420386e-05,3100,694290092.3167053,0,0,0,0.0488,0.008060000000000001,4.335188865661621
no_local_search,Sphere,10,10,0.0003573098629959809,2133,27256146.906346966,0,0,0,0.17,0.005,1.5016980171203613
no_surrogate,Sphere,10,1,2.2845789018281305e-16,73297,4.810881382828938e+19,3,0,0,0.17,0.005,1.070141077041626
no_surrogate,Sphere,10,2,2.4837753412058413e-16,78785,3.0083938701544776e+19,3,0,0,0.17,0.005,1.2050752639770508
no_surrogate,Sphere,10,3,2.235940789201933e-16,78794,5.932347714217595e+19,3,0,0,0.17,0.005,1.1379141807556152
no_surrogate,Sphere,10,4,2.4991301084349076e-16,67564,4.781819965346269e+19,2,0,0,0.17,0.005,0.9733026027679443
no_surrogate,Sphere,10,5,2.5000000054549324e-16,65433,3.6691958116233974e+19,1,0,0,0.17,0.005,0.9679646492004395
no_surrogate,Sphere,10,6,2.3453735184698917e-16,78877,4.7742633926352265e+19,3,0,0,0.17,0.005,1.1450014114379883
no_surrogate,Sphere,10,7,2.1531176977688974e-16,84328,5.4503128172231565e+19,3,0,0,0.17,0.005,1.1789186000823975
no_surrogate,Sphere,10,8,2.26158870542593e-16,73322,6.281733532588624e+19,3,0,0,0.17,0.005,1.1238653659820557
no_surrogate,Sphere,10,9,2.420968755496177e-16,73265,3.0981945440675123e+19,3,0,0,0.17,0.005,1.0475025177001953
no_surrogate,Sphere,10,10,2.449606507380799e-16,73265,3.975695724011735e+19,3,0,0,0.17,0.005,1.0647385120391846
no_escape_mechanisms,Sphere,10,1,2.4999999999999997e-16,4218,4.396335242563494e+19,1,0,0,0.17,0.005,2.026714324951172
no_escape_mechanisms,Sphere,10,2,2.494897800116747e-16,4789,2.9949822036697633e+19,2,0,0,0.17,0.005,2.6837971210479736
no_escape_mechanisms,Sphere,10,3,2.5e-16,2450,5.305751291979189e+19,1,0,0,0.17,0.005,2.1489436626434326
no_escape_mechanisms,Sphere,10,4,2.4093795146485894e-16,4027,4.959945154283843e+19,3,0,0,0.17,0.005,2.401209592819214
no_escape_mechanisms,Sphere,10,5,2.389945007961095e-16,7206,3.838159254090683e+19,3,0,0,0.17,0.005,2.758070468902588
no_escape_mechanisms,Sphere,10,6,2.467006693498231e-16,5648,4.538873348336504e+19,3,0,0,0.17,0.005,2.8193962574005127
no_escape_mechanisms,Sphere,10,7,2.5000001199420863e-16,4081,4.694065768849518e+19,1,0,0,0.17,0.005,2.0919837951660156
no_escape_mechanisms,Sphere,10,8,0.00046577599154561393,4455,30501137.597613774,0,0,0,0.17,0.005,1.377218246459961
no_escape_mechanisms,Sphere,10,9,2.471182499081417e-16,3716,3.0352400894811656e+19,3,0,0,0.17,0.005,1.8319299221038818
no_escape_mechanisms,Sphere,10,10,2.4401123730169937e-16,3697,3.991164597417226e+19,3,0,0,0.17,0.005,1.8239610195159912
no_population_decay,Sphere,10,1,2.499999985007815e-16,6905,4.396335268927762e+19,1,0,0,0.17,0.005,2.4663500785827637
no_population_decay,Sphere,10,2,2.139058615278286e-16,7713,3.493206992063838e+19,3,0,0,0.17,0.005,3.4370791912078857
no_population_decay,Sphere,10,3,2.5e-16,3451,5.305751291979189e+19,1,0,0,0.17,0.005,2.5409255027770996
no_population_decay,Sphere,10,4,0.0008530377486333982,4858,14009216.201342845,0,0,0,0.17,0.005,1.1801230907440186
no_population_decay,Sphere,10,5,2.5000001257724473e-16,5553,3.669195635035998e+19,1,0,0,0.17,0.005,2.801403522491455
no_population_decay,Sphere,10,6,2.500000000000001e-16,2284,4.478972372514751e+19,1,0,0,0.17,0.005,1.662783145904541
no_population_decay,Sphere,10,7,2.5e-16,2254,4.694065994055934e+19,1,0,0,0.17,0.005,1.2650690078735352
no_population_decay,Sphere,10,8,2.499999920905685e-16,6753,5.6826792229061526e+19,1,0,0,0.17,0.005,3.0690202713012695
no_population_decay,Sphere,10,9,2.404015668148765e-16,6322,3.120042971854715e+19,3,0,0,0.17,0.005,2.78985595703125
no_population_decay,Sphere,10,10,0.00048328863315259536,4930,20151291.482641116,0,0,0,0.17,0.005,1.424072265625
no_diversity_restart,Sphere,10,1,2.4999999999999997e-16,3794,4.396335242563494e+19,1,0,0,0.17,0.005,1.8927576541900635
no_diversity_restart,Sphere,10,2,2.4999999999999977e-16,3413,2.988869804529802e+19,1,0,0,0.17,0.005,2.2608633041381836
no_diversity_restart,Sphere,10,3,2.5e-16,3520,5.305751291979189e+19,1,0,0,0.17,0.005,2.1566481590270996
no_diversity_restart,Sphere,10,4,2.4093795146485894e-16,4841,4.959945154283843e+19,3,0,0,0.17,0.005,2.4464094638824463
no_diversity_restart,Sphere,10,5,1.9632609248219478e-16,6912,4.672323191022419e+19,3,0,0,0.17,0.005,3.0844297409057617
no_diversity_restart,Sphere,10,6,2.467006693498231e-16,6349,4.538873348336504e+19,3,0,0,0.17,0.005,2.803309440612793
no_diversity_restart,Sphere,10,7,2.5000001199420863e-16,4765,4.694065768849518e+19,1,0,0,0.17,0.005,2.1428122520446777
no_diversity_restart,Sphere,10,8,0.00046577599154561393,4960,30501137.597613774,0,0,0,0.17,0.005,1.4011895656585693
no_diversity_restart,Sphere,10,9,2.471182499081417e-16,4418,3.0352400894811656e+19,3,0,0,0.17,0.005,1.7699365615844727
no_diversity_restart,Sphere,10,10,2.4401123730169937e-16,4398,3.991164597417226e+19,3,0,0,0.17,0.005,1.7709479331970215
no_de_operator,Sphere,10,1,1.4708896227181205e-16,5384,7.47223852602773e+19,3,0,0,0.17,0.005,2.299955368041992
no_de_operator,Sphere,10,2,0.0011461838885992244,4843,6519176.011500564,0,0,0,0.17,0.005,1.2916781902313232
no_de_operator,Sphere,10,3,2.413155353046552e-16,4290,5.496694696096547e+19,3,0,0,0.17,0.005,1.673685073852539
no_de_operator,Sphere,10,4,2.499999999999999e-16,2424,4.780156099404812e+19,1,0,0,0.17,0.005,1.7460389137268066
no_de_operator,Sphere,10,5,0.0006556803788354383,5079,13990032.102784537,0,0,0,0.17,0.005,1.5742371082305908
no_de_operator,Sphere,10,6,0.0004956770828576544,5042,22590172.752655774,0,0,0,0.17,0.005,1.567958116531372
no_de_operator,Sphere,10,7,2.486608449979942e-16,5690,4.719345735849364e+19,2,0,0,0.17,0.005,2.0937092304229736
no_de_operator,Sphere,10,8,0.0005214121374517437,4989,27246580.175960284,0,0,0,0.17,0.005,1.5901730060577393
no_de_operator,Sphere,10,9,2.5e-16,2256,3.000252875854468e+19,1,0,0,0.17,0.005,1.2642590999603271
no_de_operator,Sphere,10,10,0.0007718343045453104,5001,12617850.825692916,0,0,0,0.17,0.005,1.5271472930908203
baseline,Sphere,30,1,7.47464064301401e-16,9818,6.9184895607469335e+19,2,0,0,0.17,0.005,4.814311981201172
baseline,Sphere,30,2,7.4575872607664155e-16,9295,8.453599889248969e+19,2,1,0,0.17,0.005,5.028371572494507
baseline,Sphere,30,3,7.306528874655229e-16,7903,8.406278635021181e+19,2,1,0,0.17,0.005,2.563072443008423
baseline,Sphere,30,4,7.221211153880622e-16,8535,1.037261326389945e+20,2,0,0,0.17,0.005,3.622830867767334
baseline,Sphere,30,5,7.260228536220376e-16,9972,6.751480730328373e+19,3,1,0,0.17,0.005,5.307740688323975
baseline,Sphere,30,6,7.331656052230411e-16,8290,7.114044493802708e+19,3,1,0,0.17,0.005,2.702148199081421
baseline,Sphere,30,7,7.500000000000012e-16,4296,8.735803948597499e+19,1,0,0,0.17,0.005,4.1528074741363525
baseline,Sphere,30,8,7.486858701671428e-16,9013,8.260044811329793e+19,2,0,0,0.17,0.005,4.5963709354400635
baseline,Sphere,30,9,7.329965766939821e-16,9646,7.877146309695691e+19,2,0,0,0.17,0.005,4.881386756896973
baseline,Sphere,30,10,7.457585890516271e-16,9437,8.695845138138512e+19,2,0,0,0.17,0.005,4.476442813873291
no_local_search,Sphere,30,1,0.0003847890405442737,4668,134393700.98971692,0,0,0,0.0398,0.00851,8.140336990356445
no_local_search,Sphere,30,2,0.0005183461315712355,4146,121624248.74394095,0,1,0,0.0856,0.00622,8.499629497528076
no_local_search,Sphere,30,3,0.0011789779266809255,2253,52096579.74521375,0,1,0,0.17,0.005,2.076402425765991
no_local_search,Sphere,30,4,0.00033962711326145073,4005,220544319.55348426,0,0,0,0.036000000000000004,0.0087,7.907926797866821
no_local_search,Sphere,30,5,0.00016944423968359246,4705,289282734.84895843,0,1,0,0.0188,0.009559999999999999,8.450698852539062
no_local_search,Sphere,30,6,0.0009507489642465939,2264,54859620.499462366,0,1,0,0.17,0.005,2.1521129608154297
no_local_search,Sphere,30,7,0.00020329355447793,5008,322285326.66830903,0,0,0,0.030600000000000002,0.00897,9.500130653381348
no_local_search,Sphere,30,8,0.00040298577838152977,4120,153458984.63283044,0,0,0,0.023200000000000002,0.00934,9.095456838607788
no_local_search,Sphere,30,9,0.0004900950273115036,4438,117812280.42239816,0,0,0,0.0166,0.00967,9.410326719284058
no_local_search,Sphere,30,10,0.0005678119046944988,4255,114210377.54252033,0,0,0,0.041600000000000005,0.00842,8.777934551239014
no_surrogate,Sphere,30,1,7.500000000000007e-16,66847,6.895096434536949e+19,1,0,0,0.17,0.005,1.1257154941558838
no_surrogate,Sphere,30,2,7.50000000000001e-16,73276,8.40579451222392e+19,1,0,0,0.17,0.005,1.373420000076294
no_surrogate,Sphere,30,3,7.500000000000014e-16,71344,8.189429010023932e+19,1,0,0,0.17,0.005,1.0543828010559082
no_surrogate,Sphere,30,4,7.229496467053484e-16,71108,1.0360725804004554e+20,2,0,0,0.17,0.005,1.109464168548584
no_surrogate,Sphere,30,5,7.412129168349197e-16,102212,6.613119111493978e+19,3,0,0,0.17,0.005,1.6365647315979004
no_surrogate,Sphere,30,6,7.500000000000004e-16,60282,6.954363649176671e+19,1,0,0,0.17,0.005,0.9226260185241699
no_surrogate,Sphere,30,7,7.479192777048077e-16,71011,8.760107082082796e+19,2,0,0,0.17,0.005,1.0950651168823242
no_surrogate,Sphere,30,8,7.499999999999998e-16,77870,8.245571782920054e+19,1,0,0,0.17,0.005,1.2283704280853271
no_surrogate,Sphere,30,9,7.499999999970781e-16,66749,7.698561705529426e+19,1,0,0,0.17,0.005,1.1598501205444336
no_surrogate,Sphere,30,10,6.610236699389291e-16,83489,9.81054309511907e+19,3,0,0,0.17,0.005,1.4907176494598389
