Function,Run,MP_Fitness,AS_Fitness,MP_Time,AS_Time,MP_Evals,AS_Evals,Speedup,MP_Success,AS_Success,Quality_Ratio
Rastrigin,1,0.0,1.1368683772161603e-13,20.83309268951416,233.24996995925903,99550000,101675,11.196127883435176,True,True,inf
Rastrigin,2,0.0,1.1368683772161603e-13,20.843329191207886,229.22537469863892,99550000,86650,10.997541352238997,True,True,inf
Rastrigin,3,0.0,1.1368683772161603e-13,20.824984073638916,229.02449011802673,99550000,91923,10.997582966122646,True,True,inf
Rastrigin,4,0.0,1.1368683772161603e-13,20.799640893936157,220.71775817871094,99550000,84460,10.611613888154103,True,True,inf
Rastrigin,5,0.0,1.1368683772161603e-13,20.89177680015564,223.24492383003235,99550000,83957,10.685779671376213,True,True,inf
Ackley,1,3.9968028886505635e-15,1.840825847310157e-08,30.188228607177734,214.95266795158386,99550000,94899,7.1204134150645535,True,False,4605745.888888889
Ackley,2,3.9968028886505635e-15,1.960510376264324e-08,30.143645524978638,226.2380702495575,99550000,98477,7.5053320960162075,True,False,4905196.555555556
Ackley,3,7.549516567451064e-15,19.005316502762707,30.061625242233276,149.6492302417755,99550000,2702,4.978081824782208,True,False,2517421656467660.5
Ackley,4,7.549516567451064e-15,0.030407498102026143,30.01275944709778,149.99209666252136,99550000,51206,4.997610996979671,True,False,4027741091810.4116
Ackley,5,3.9968028886505635e-15,1.926431325571798e-08,30.28105616569519,209.47452521324158,99550000,83519,6.917675660552129,True,False,4819930.777777778
Rosenbrock,1,0.04411996493837778,2.827331168543596e-11,25.365931510925293,112.97261381149292,99550000,27653,4.453714375237306,False,True,6.408280633251909e-10
Rosenbrock,2,0.009886704305166048,28.681433954286693,25.34097695350647,180.27085971832275,99550000,140372,7.113808597398152,False,False,2901.010596554398
Rosenbrock,3,0.10663723483358023,1.9689076030217294e-11,25.42323398590088,188.5007176399231,99550000,36901,7.4145058706717295,False,True,1.8463603319182442e-10
Rosenbrock,4,0.005437549580548361,1.8844669835350895e-11,25.463147163391113,105.74840354919434,99550000,32237,4.152998169104209,False,True,3.4656548057535993e-09
Rosenbrock,5,0.0035643099574251317,28.143846440058844,25.379045009613037,205.41694498062134,99550000,136188,8.09395881140578,False,False,7896.015435310245
Griewank,1,0.007396040334114895,3.774758283725532e-15,26.038724422454834,233.84731125831604,99550000,87867,8.980751417172138,False,True,5.103755676282785e-13
Griewank,2,0.0,3.1086244689504383e-15,26.090215921401978,225.31366991996765,99550000,74405,8.635945007076057,True,True,inf
Griewank,3,0.012320988875106575,2.3314683517128287e-15,25.943011045455933,224.70275020599365,99550000,76466,8.661398239868214,False,True,1.8922737252229373e-13
Griewank,4,0.007396040334115006,2.4424906541753444e-15,26.006131410598755,216.0696632862091,99550000,86366,8.308412346103514,False,True,3.302430143477047e-13
Griewank,5,0.0,2.3314683517128287e-15,25.864578008651733,216.32985162734985,99550000,77128,8.363942823849175,True,True,inf
Levy,1,1.4997597826618576e-32,3.5919494941588037e-16,44.933165550231934,226.82352328300476,99550000,63224,5.048020109543205,True,True,2.3950165457721572e+16
Levy,2,1.4997597826618576e-32,0.05867983448358763,44.54190993309021,203.01429414749146,99550000,60530,4.557826425774167,True,False,3.9126155509677275e+30
Levy,3,1.4997597826618576e-32,3.8681897390083014e-16,44.81976056098938,220.6566321849823,99550000,54781,4.923199709751224,True,True,2.579206206038424e+16
Levy,4,1.4997597826618576e-32,3.8297693713084245e-16,44.69533705711365,207.06663155555725,99550000,56939,4.632846403886797,True,True,2.5535885250310788e+16
Levy,5,1.4997597826618576e-32,3.9713698717320316e-16,44.8876097202301,204.94887399673462,99550000,50660,4.565822846752464,True,True,2.648003978799473e+16
Sphere,1,1.1107519687492666e-58,7.500000000000006e-16,15.49622654914856,211.25111627578735,99550000,85983,13.632423068014228,True,True,6.752182495292073e+42
Sphere,2,1.4656470239758259e-58,7.500000000000002e-16,15.302173376083374,221.71630311012268,99550000,79308,14.489203439339901,True,True,5.1171938927388734e+42
Sphere,3,1.2424550339522773e-58,7.499999999999992e-16,15.366625308990479,221.560067653656,99550000,82456,14.418264465915552,True,True,6.036435762300647e+42
Sphere,4,7.42177159627066e-57,7.335728426274396e-16,15.338886260986328,231.66513872146606,99550000,94662,15.103126444759845,True,True,9.884066534680885e+40
Sphere,5,8.630536609741913e-57,7.463363402484662e-16,15.508633613586426,203.35613536834717,99550000,92622,13.112446939890042,True,True,8.647623826843191e+40
